# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	66987
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=267 d=2.50639 t=66987
liang ji 	量级	c=1 d=7.89099e-126 t=66987
liang jian 	两件	c=1 d=1.24777e-16 t=66987
liang kuai 	凉快	c=1 d=3.34087e-132 t=66987
liang le 	凉了	c=2 d=0.0761538 t=66987
liang ma shi 	两码事	c=1 d=2.36027e-15 t=66987
liang men 	两门	c=1 d=1.62971e-40 t=66987
liang nian 	两年	c=1 d=1.23343e-27 t=66987
liang se 	亮色	c=6 d=2.26419e-109 t=66987
liang tai 	两台	c=4 d=3.2796e-32 t=66987
liang tian 	两天	c=1 d=4.36629e-46 t=66987
liang tiao 	两条	c=1 d=9.53985e-35 t=66987
liang wan 	两万	c=2 d=3.54448e-138 t=66987
liang wei 	两位	c=2 d=1.28716e-123 t=66987
liang zhong 	两种	c=8 d=4.01459e-58 t=66987
liang zhou 	两周	c=1 d=4.52028e-42 t=66987
liao 	廖	c=1 d=8.3607e-71 t=66987
liao 	聊	c=2 d=1.75056e-58 t=66987
liao jie 	了解	c=5 d=2.05437e-29 t=66987
liao tian 	聊天	c=19 d=5.53649e-16 t=66987
liao tian shi 	聊天室	c=20 d=3.7835e-37 t=66987
lie 	列	c=13 d=1.96779e-19 t=66987
lie bai o 	列白哦	c=10 d=2.27988e-06 t=66987
lie bao 	猎豹	c=1 d=6.50757e-123 t=66987
lie biao 	列表	c=112 d=0.0812682 t=66987
lie biao o 	列表哦	c=1 d=1.20818e-19 t=66987
lie biao shang 	列表上	c=1 d=6.93376e-134 t=66987
lie biao ye 	列表页	c=1 d=5.09037e-57 t=66987
lie che 	列车	c=1 d=0.00392653 t=66987
lie tou 	猎头	c=1 d=9.05337e-125 t=66987
lin 	林	c=2 d=6.7918e-118 t=66987
lin jie 	临界	c=1 d=2.69932e-94 t=66987
lin se 	吝啬	c=3 d=4.25716e-71 t=66987
lin shi 	临时	c=8 d=0.212248 t=66987
ling 	灵	c=2 d=9.96473e-77 t=66987
ling 	菱	c=2 d=0.489192 t=66987
ling 	领	c=4 d=2.0229e-112 t=66987
ling an 	另案	c=1 d=1.07675e-17 t=66987
ling dao 	领导	c=3 d=5.35665e-98 t=66987
ling dong dao 	灵动岛	c=1 d=3.15231e-125 t=66987
ling gan 	灵感	c=3 d=3.19302e-17 t=66987
ling ke 	领克	c=2 d=5.25701e-83 t=66987
ling pai 	令牌	c=12 d=0.856939 t=66987
ling shi 	零食	c=2 d=1.66133e-137 t=66987
ling yi bian 	另一边	c=1 d=1.04015e-110 t=66987
ling yi ge 	另一个	c=7 d=8.55022e-70 t=66987
ling yu 	领域	c=9 d=0.000166586 t=66987
liu 	刘	c=43 d=0.66365 t=66987
liu 	流	c=5 d=0.726149 t=66987
liu 	留	c=1 d=3.80598e-136 t=66987
liu bi 	流弊	c=0 d=0.0718924 t=66987
liu bi xue 	流弊学	c=3 d=0.722527 t=66987
liu bu zhu 	留不住	c=1 d=6.32944e-120 t=66987
liu chang 	流畅	c=1 d=2.82164e-86 t=66987
liu cheng 	流程	c=15 d=7.99604e-17 t=66987
liu de hua 	刘德华	c=1 d=1.28854e-100 t=66987
liu hai 	刘海	c=1 d=3.18399e-125 t=66987
liu lan 	浏览	c=4 d=5.95227e-06 t=66987
liu lan qi 	浏览器	c=27 d=3.74113 t=66987
liu lang mao 	流浪猫	c=1 d=0.00196945 t=66987
liu mei ti 	流媒体	c=1 d=5.55029e-104 t=66987
liu shi 	流失	c=1 d=3.12849e-124 t=66987
liu shui 	流水	c=7 d=0.00944525 t=66987
liu tiao 	六条	c=2 d=1.79457e-56 t=66987
liu wan 	六万	c=1 d=3.64455e-38 t=66987
liu yan 	留言	c=1 d=1.01143e-16 t=66987
liu zai 	留在	c=1 d=6.16851e-23 t=66987
liu zhe 	留着	c=1 d=3.06694e-08 t=66987
liu zhuan 	流转	c=6 d=3.84107e-30 t=66987
long 	龙	c=2 d=2.59268e-61 t=66987
long feng tai 	龙凤胎	c=1 d=3.37571e-107 t=66987
lou 	楼	c=3 d=0.66034 t=66987
lou 	漏	c=1 d=6.76991e-88 t=66987
lou dong 	楼栋	c=1 d=0.494109 t=66987
lou fang 	楼房	c=1 d=1.97947e-92 t=66987
lou ji 	漏记	c=1 d=3.05395e-105 t=66987
lou kong 	镂空	c=1 d=7.91353e-42 t=66987
lou le 	漏了	c=5 d=0.00308872 t=66987
lou pan 	楼盘	c=1 d=5.85133e-49 t=66987
lou xia 	楼下	c=1 d=3.29639e-92 t=66987
lu 	卢	c=8 d=9.15332e-19 t=66987
lu 	录	c=2 d=5.24416e-113 t=66987
lu 	路	c=4 d=0.0477114 t=66987
lu 	露	c=1 d=1.95172e-73 t=66987
lu 	鲁	c=2 d=5.67375e-10 t=66987
lu biao 	路标	c=2 d=7.40051e-67 t=66987
lu er 	鲁尔	c=0 d=2.54334e-130 t=66987
lu jing 	路径	c=17 d=4.33491e-20 t=66987
lu ping 	录屏	c=3 d=2.07002e-69 t=66987
lu ru 	录入	c=3 d=3.60154e-16 t=66987
lu xiang 	录像	c=5 d=1.13698e-69 t=66987
lu yi xia 	录一下	c=1 d=1.28727e-59 t=66987
lu yin 	录音	c=1 d=1.16576e-69 t=66987
lu you 	路由	c=37 d=0.13068 t=66987
lu you qi 	路由器	c=1 d=0.000720907 t=66987
lu zhou 	泸州	c=1 d=8.12413e-145 t=66987
lu zhou shi 	泸州市	c=1 d=1.1244e-144 t=66987
luan 	乱	c=1 d=1.72316e-137 t=66987
luan dong 	乱动	c=1 d=4.86011e-130 t=66987
luan ma 	乱码	c=4 d=1.13963e-67 t=66987
luan qi ba zao 	乱七八糟	c=1 d=1.79213e-40 t=66987
luan reng 	乱扔	c=1 d=2.82961e-31 t=66987
luan shuo 	乱说	c=1 d=7.62057e-10 t=66987
lun 	伦	c=2 d=3.42335e-105 t=66987
lun 	论	c=1 d=4.69261e-41 t=66987
lun bo 	轮播	c=3 d=8.34663e-08 t=66987
lun ci 	轮次	c=6 d=4.0937e-106 t=66987
lun pan 	轮盘	c=3 d=3.53067e-105 t=66987
lun xun 	轮训	c=5 d=1.37832e-94 t=66987
lun xun 	轮询	c=2 d=9.08045e-05 t=66987
lun zhe 	轮着	c=1 d=1.56571e-98 t=66987
luo bo dun 	萝卜蹲	c=1 d=3.88866e-36 t=66987
luo di 	落地	c=1 d=1.03414e-42 t=66987
luo di ye 	落地页	c=12 d=0.092089 t=66987
luo ji 	罗技	c=2 d=1.91476e-105 t=66987
luo ji 	逻辑	c=78 d=0.846719 t=66987
luo ji ye 	逻辑页	c=1 d=5.68886e-100 t=66987
luo lie 	罗列	c=1 d=5.62919e-123 t=66987
lv 	吕	c=3 d=8.22948e-32 t=66987
lv 	率	c=4 d=0.0439369 t=66987
ma 	吗	c=3 d=0.0695994 t=66987
ma 	嘛	c=3 d=6.6079e-09 t=66987
ma 	马	c=1 d=1.75802e-108 t=66987
ma 	骂	c=4 d=1.27237e-32 t=66987
ma chai 	骂拆	c=1 d=0.0497871 t=66987
ma che 	马车	c=10 d=0.272532 t=66987
ma de 	妈的	c=8 d=0.00152616 t=66987
ma fan 	麻烦	c=4 d=1.03541e-27 t=66987
ma jiang 	麻将	c=2 d=7.79811e-126 t=66987
ma ke si 	马克思	c=1 d=2.37736e-41 t=66987
ma la song 	马拉松	c=1 d=4.5609e-59 t=66987
ma ma 	妈妈	c=9 d=0.01649 t=66987
ma shang 	马上	c=6 d=1.6371e-05 t=66987
ma shang fa 	马上发	c=1 d=6.15199e-109 t=66987
ma zu 	妈祖	c=1 d=2.15552e-65 t=66987
mai 	买	c=46 d=0.09013 t=66987
mai 	卖	c=16 d=0.895834 t=66987
mai 	埋	c=3 d=4.59876e-68 t=66987
mai 	麦	c=7 d=3.19215e-52 t=66987
mai bu dao 	买不到	c=2 d=1.13788e-09 t=66987
mai cai 	买菜	c=1 d=5.55744e-31 t=66987
mai che 	卖车	c=1 d=0.913931 t=66987
mai chu qu 	卖出去	c=1 d=1.04057e-56 t=66987
mai dao 	买到	c=1 d=0.000949097 t=66987
mai de 	买的	c=4 d=1.74342e-10 t=66987
mai dian 	买点	c=3 d=2.87206e-87 t=66987
mai dian 	卖点	c=3 d=1.00938e-133 t=66987
mai dian 	埋点	c=1 d=7.19466e-98 t=66987
mai dian ba 	买点吧	c=1 d=2.41649e-86 t=66987
mai dong xi 	买东西	c=1 d=3.03716e-99 t=66987
mai fang 	买房	c=1 d=2.55503e-36 t=66987
mai ge 	买个	c=4 d=0.0528657 t=66987
mai gei 	卖给	c=1 d=0.0335406 t=66987
mai hou 	买后	c=1 d=0.000259956 t=66987
mai hui lai 	买回来	c=2 d=1.31551e-79 t=66987
mai kang na 	麦康纳	c=0 d=5.5633e-15 t=66987
mai ke feng 	麦克风	c=6 d=1.33764e-41 t=66987
mai le 	买了	c=13 d=0.0785814 t=66987
mai le 	卖了	c=3 d=0.66699 t=66987
mai le ge 	买了个	c=1 d=3.69963e-38 t=66987
mai nai fen 	卖奶粉	c=1 d=1.19759e-33 t=66987
mai qi lai 	埋起来	c=1 d=5.05739e-10 t=66987
mai sha 	卖啥	c=1 d=0.826959 t=66987
mai shen 	卖身	c=1 d=0.0340475 t=66987
mai shen me 	买什么	c=2 d=1.19666e-75 t=66987
mai shi 	脉石	c=1 d=8.77982e-117 t=66987
mai yi 	买一	c=0 d=1.16628e-134 t=66987
mai yi dian 	买一点	c=3 d=8.18094e-80 t=66987
mai yi ge 	买一个	c=1 d=1.35631e-56 t=66987
mai zi 	麦子	c=1 d=1.39491e-92 t=66987
man 	慢	c=4 d=0.151072 t=66987
man dian 	慢点	c=1 d=2.82011e-109 t=66987
man le 	满了	c=2 d=2.58334e-48 t=66987
man man 	慢慢	c=5 d=1.89836e-41 t=66987
man tou 	馒头	c=1 d=6.61042e-131 t=66987
man wei 	漫威	c=1 d=5.47843e-39 t=66987
man xue 	满血	c=2 d=5.86689e-29 t=66987
man yi 	满意	c=1 d=2.54938e-10 t=66987
man you 	漫游	c=1 d=2.22223e-100 t=66987
man zu 	满足	c=4 d=9.14242e-05 t=66987
mang cai 	盲猜	c=2 d=0.0281559 t=66987
mang he 	盲盒	c=2 d=1.61091e-98 t=66987
mang le 	忙了	c=1 d=7.02539e-112 t=66987
mang qi lai 	忙起来	c=1 d=4.33846e-59 t=66987
mang sha 	忙啥	c=1 d=0.519442 t=66987
mao 	猫	c=4 d=2.59267e-128 t=66987
mao dun 	矛盾	c=1 d=4.46636e-136 t=66987
mao li 	毛利	c=1 d=8.93717e-103 t=66987
mao li ren 	毛利人	c=1 d=8.05477e-103 t=66987
mao pao 	冒泡	c=1 d=4.40957e-15 t=66987
mao xian 	毛线	c=1 d=2.01054e-40 t=66987
mao yan 	冒烟	c=2 d=3.97667e-64 t=66987
mao yi 	贸易	c=1 d=0.00136719 t=66987
mao ze dong 	毛泽东	c=1 d=6.07648e-52 t=66987
me 	么	c=610 d=2.2865 t=66987
me yi ou 	么遗欧	c=1 d=1.32828e-75 t=66987
me you 	么有	c=3 d=1.14372e-21 t=66987
mei 	每	c=2 d=3.0945e-25 t=66987
mei 	没	c=251 d=1.87442 t=66987
mei 	美	c=1 d=0.000717312 t=66987
mei ban fa 	没办法	c=9 d=0.0026189 t=66987
mei bi yao 	没必要	c=6 d=2.9229e-22 t=66987
mei bian 	没变	c=2 d=7.05241e-55 t=66987
mei ce 	没测	c=1 d=1.97926e-32 t=66987
mei chi 	没吃	c=1 d=2.13691e-110 t=66987
mei chu 	没出	c=1 d=1.8375e-40 t=66987
mei chu sheng 	没出生	c=1 d=9.40331e-130 t=66987
mei chu xian guo 	没出现过	c=1 d=1.83482e-111 t=66987
mei ci 	每次	c=23 d=3.72275e-18 t=66987
mei de 	没得	c=1 d=3.95966e-43 t=66987
mei diao 	没掉	c=1 d=1.87023e-130 t=66987
mei dong 	没动	c=1 d=3.3695e-56 t=66987
mei duan 	每段	c=1 d=5.55501e-114 t=66987
mei dun 	每吨	c=1 d=3.3527e-56 t=66987
mei duo da 	没多大	c=0 d=2.30552e-34 t=66987
mei duo da yong 	没多大用	c=1 d=2.31708e-33 t=66987
mei fa 	没发	c=3 d=1.70888e-13 t=66987
mei fa 	没法	c=41 d=7.93379e-12 t=66987
mei fa guo le 	没法过了	c=1 d=1.22992e-111 t=66987
mei fan hui 	没返回	c=1 d=3.1399e-108 t=66987
mei gai 	没改	c=3 d=1.42954e-117 t=66987
mei gan 	没敢	c=1 d=1.29474e-127 t=66987
mei gao 	没搞	c=1 d=6.51174e-13 t=66987
mei ge 	每个	c=12 d=1.44827e-26 t=66987
mei ge ren 	每个人	c=3 d=2.31196e-07 t=66987
mei gei wo 	没给我	c=1 d=1.45882e-119 t=66987
mei guan lian 	没关联	c=1 d=2.27531e-113 t=66987
mei guan xi 	没关系	c=4 d=0.00209124 t=66987
mei guo 	美国	c=7 d=0.0623521 t=66987
mei hei you 	煤黑油	c=1 d=7.73969e-16 t=66987
mei hua 	美化	c=3 d=2.40207e-45 t=66987
mei hui he 	每回合	c=1 d=3.76759e-105 t=66987
mei jia 	每家	c=1 d=2.92125e-53 t=66987
mei jin 	美金	c=1 d=5.49653e-19 t=66987
mei ju 	枚举	c=21 d=0.0884317 t=66987
mei jun 	霉菌	c=3 d=1.9489e-27 t=66987
mei kan 	没看	c=4 d=0.00895987 t=66987
mei kan dao 	没看到	c=6 d=1.2577e-21 t=66987
mei kan dong 	没看懂	c=1 d=9.6999e-113 t=66987
mei lai 	没来	c=1 d=4.78644e-68 t=66987
mei le 	没了	c=5 d=4.58625e-36 t=66987
mei li 	魅力	c=1 d=5.75698e-93 t=66987
mei lun 	每轮	c=1 d=4.94818e-106 t=66987
mei mai guo 	没买过	c=1 d=1.29095e-122 t=66987
mei man 	美满	c=1 d=2.575e-10 t=66987
mei mei 	妹妹	c=2 d=2.81762e-128 t=66987
mei nian 	每年	c=3 d=0.0411719 t=66987
mei qi 	煤气	c=1 d=3.03655e-126 t=66987
mei qian 	没钱	c=6 d=1.41295e-08 t=66987
mei qian le 	没钱了	c=1 d=7.76136e-137 t=66987
mei quan xian 	没权限	c=3 d=1.71776e-12 t=66987
mei rang 	没让	c=1 d=2.548e-33 t=66987
mei ren 	没人	c=6 d=1.78355e-13 t=66987
mei ri 	每日	c=5 d=0.29671 t=66987
mei sha 	没啥	c=11 d=1.29483e-16 t=66987
mei sha shi 	没啥事	c=1 d=5.0454e-129 t=66987
mei sha yong 	没啥用	c=3 d=0.155673 t=66987
mei shang ban 	没上班	c=1 d=7.52502e-38 t=66987
mei shi 	没事	c=8 d=6.5727e-05 t=66987
mei shi jian 	没时间	c=1 d=4.96738e-34 t=66987
mei shui 	没睡	c=1 d=1.03095e-35 t=66987
mei shui hao 	没睡好	c=1 d=0.251579 t=66987
mei shui jiao 	没睡觉	c=1 d=7.9292e-124 t=66987
mei shuo 	没说	c=8 d=3.47249e-27 t=66987
mei tian 	每天	c=10 d=0.582772 t=66987
mei tiao 	每条	c=3 d=8.47118e-49 t=66987
mei tou 	眉头	c=1 d=1.14883e-44 t=66987
mei tu 	美图	c=3 d=8.52808e-68 t=66987
mei wang 	没网	c=1 d=3.43476e-17 t=66987
mei wen ti 	没问题	c=15 d=1.20757e-13 t=66987
mei xia zai 	没下载	c=1 d=3.12933e-39 t=66987
mei xiang dao 	没想到	c=1 d=1.72837e-55 t=66987
mei xie 	没写	c=2 d=2.59461e-11 t=66987
mei yi ji 	每一级	c=1 d=6.91889e-50 t=66987
mei yi si 	没意思	c=2 d=1.14903e-126 t=66987
mei yi yi 	没意义	c=2 d=3.75822e-17 t=66987
mei yong 	没用	c=8 d=0.0239928 t=66987
mei yong dao 	没用到	c=2 d=2.32956e-08 t=66987
mei you 	没有	c=259 d=1.71848 t=66987
mei you gei 	没有给	c=1 d=5.26597e-103 t=66987
mei you hou 	没有后	c=1 d=1.95471e-91 t=66987
mei you o 	没有哦	c=8 d=6.66501e-22 t=66987
mei you ren 	没有人	c=2 d=3.03778e-72 t=66987
mei you shuo 	没有说	c=1 d=1.06141e-54 t=66987
mei you yong 	没有用	c=2 d=2.43125e-40 t=66987
mei you zhi 	没有值	c=1 d=3.44519e-82 t=66987
mei yuan 	美元	c=4 d=0.0137461 t=66987
mei yue 	每月	c=2 d=7.08197e-30 t=66987
mei zai 	没在	c=1 d=4.70796e-50 t=66987
mei zhao dao 	没找到	c=1 d=6.48415e-110 t=66987
mei zi 	妹子	c=1 d=1.62153e-69 t=66987
mei zou 	没走	c=1 d=6.7421e-69 t=66987
mei zu 	每组	c=6 d=1.50148e-104 t=66987
mei zu 	魅族	c=1 d=3.40025e-104 t=66987
mei zuo 	没做	c=1 d=0.0018363 t=66987
mei zuo le 	没做了	c=1 d=6.05608e-130 t=66987
men 	们	c=20 d=0.447088 t=66987
men kan 	门槛	c=4 d=0.00900478 t=66987
men kou 	门口	c=7 d=1.72608e-10 t=66987
men le 	闷了	c=1 d=1.10491e-56 t=66987
men shang 	门上	c=1 d=0.282239 t=66987
meng 	盟	c=2 d=1.1218e-21 t=66987
meng 	蒙	c=2 d=5.58055e-21 t=66987
meng cheng 	蒙城	c=0 d=8.0356e-76 t=66987
meng cheng eng 	蒙城嗯	c=1 d=8.07588e-75 t=66987
meng shi 	猛士	c=1 d=1.74047e-137 t=66987
mi 	米	c=3 d=1.08792e-42 t=66987
mi a 	米啊	c=0 d=1.72098e-35 t=66987
mi fan 	米饭	c=1 d=0.29671 t=66987
mi hang 	迷航	c=2 d=3.97478e-12 t=66987
mi jue 	秘诀	c=1 d=3.66309e-127 t=66987
mi ma 	密码	c=39 d=2.53577 t=66987
mi ma suo 	密码锁	c=1 d=5.04777e-17 t=66987
mi mi 	咪咪	c=1 d=1.04945e-09 t=66987
mi mi yan 	眯眯眼	c=1 d=1.11708e-126 t=66987
mi shi 	迷失	c=1 d=1.50467e-42 t=66987
mi xue 	米雪	c=2 d=1.03563e-21 t=66987
mi yao 	密钥	c=3 d=2.9958e-26 t=66987
mian 	绵	c=1 d=3.59408e-21 t=66987
mian 	面	c=5 d=0.00937227 t=66987
mian ban 	面板	c=14 d=0.088769 t=66987
mian bei 	缅北	c=2 d=0.0302941 t=66987
mian de 	免得	c=1 d=2.07777e-74 t=66987
mian fei 	免费	c=14 d=0.134943 t=66987
mian fei le 	免费了	c=1 d=1.50462e-71 t=66987
mian fei song 	免费送	c=1 d=4.36364e-127 t=66987
mian ji 	面积	c=1 d=1.73709e-26 t=66987
mian mi 	免密	c=3 d=2.29864e-86 t=66987
mian xiang 	面向	c=2 d=1.02689e-18 t=66987
mian yi li 	免疫力	c=1 d=3.90894e-09 t=66987
miao 	妙	c=1 d=3.6494e-83 t=66987
miao 	秒	c=11 d=9.21768e-05 t=66987
miao sha 	秒杀	c=3 d=1.14287e-71 t=66987
miao shu 	描述	c=16 d=0.000915036 t=66987
min 	敏	c=1 d=3.02807e-06 t=66987
min 	民	c=1 d=3.85927e-35 t=66987
min gai nian 	敏概念	c=1 d=3.04325e-05 t=66987
min gan ci 	敏感词	c=1 d=4.44527e-51 t=66987
min tian 	民田	c=1 d=8.86741e-28 t=66987
min ying 	民营	c=1 d=3.68945e-35 t=66987
min zhu 	民主	c=2 d=2.61139e-137 t=66987
ming 	名	c=29 d=0.802559 t=66987
ming 	明	c=2 d=0.66034 t=66987
ming bai 	明白	c=2 d=1.86691e-21 t=66987
ming chao 	明朝	c=1 d=4.69181e-39 t=66987
ming che 	名车	c=0 d=1.09809e-43 t=66987
ming che rang 	名车让	c=1 d=1.1036e-42 t=66987
ming chen 	明晨	c=1 d=1.60289e-80 t=66987
ming cheng 	名称	c=61 d=0.343139 t=66987
ming dan 	名单	c=7 d=5.62896e-05 t=66987
ming dong 	名动	c=1 d=9.19451e-13 t=66987
ming e 	名额	c=4 d=8.16194e-23 t=66987
ming er ge 	明儿个	c=2 d=1.27385e-24 t=66987
ming liang 	明亮	c=2 d=2.81472e-20 t=66987
ming ling 	命令	c=13 d=0.0408608 t=66987
ming ling hai 	命令还	c=1 d=0.410656 t=66987
ming ling hang 	命令行	c=14 d=0.412714 t=66987
ming nian 	明年	c=1 d=3.13466e-59 t=66987
ming qu 	名曲	c=1 d=5.77146e-05 t=66987
ming que 	明确	c=5 d=5.80039e-05 t=66987
ming ren 	名人	c=1 d=5.89206e-13 t=66987
ming ren tang 	名人堂	c=2 d=4.27637e-07 t=66987
ming tai 	明台	c=2 d=1.08887e-31 t=66987
ming tian 	明天	c=36 d=0.0261978 t=66987
ming tian le 	明天了	c=1 d=3.35384e-60 t=66987
ming tu duo chuan 	命途多舛	c=1 d=0.0065062 t=66987
ming xian 	明显	c=2 d=4.52904e-06 t=66987
ming yan 	名言	c=1 d=1.48293e-106 t=66987
ming yang 	名扬	c=2 d=7.89431e-12 t=66987
ming zhong 	命中	c=1 d=3.09378e-81 t=66987
ming zi 	名字	c=24 d=0.566321 t=66987
mo 	摸	c=1 d=1.62999e-42 t=66987
mo cha kong 	抹茶控	c=1 d=3.56995e-30 t=66987
mo cheng 	磨成	c=1 d=4.55363e-99 t=66987
mo dian 	抹点	c=1 d=1.68518e-22 t=66987
mo fa 	魔法	c=1 d=6.20154e-27 t=66987
mo hu 	模糊	c=5 d=1.35992e-20 t=66987
mo huan 	魔幻	c=1 d=1.7159e-58 t=66987
mo kuai 	模块	c=30 d=3.11807 t=66987
mo ni 	模拟	c=3 d=1.03625e-64 t=66987
mo ni qi 	模拟器	c=1 d=5.69255e-137 t=66987
mo pao 	摸跑	c=1 d=4.38757e-15 t=66987
mo ren 	默认	c=55 d=0.847883 t=66987
mo ren zhi 	默认值	c=2 d=2.05052e-07 t=66987
mo shi 	模式	c=58 d=1.91079 t=66987
mo xi 	摩西	c=0 d=1.94548e-07 t=66987
mo xi kong 	摩西空	c=1 d=1.95524e-06 t=66987
mo xing 	模型	c=40 d=0.000636039 t=66987
mo you 	抹油	c=1 d=1.77158e-22 t=66987
mo yu 	墨鱼	c=1 d=0.0471227 t=66987
mou ge 	某个	c=33 d=1.44213 t=66987
mou mou 	某某	c=1 d=1.5962e-119 t=66987
mou xie 	某些	c=1 d=1.34404e-08 t=66987
mou xie ren 	某些人	c=1 d=1.842e-10 t=66987
mu 	木	c=1 d=0.000123857 t=66987
mu 	目	c=1 d=0.0178634 t=66987
mu ai 	母爱	c=0 d=2.34595e-62 t=66987
mu ban 	模板	c=9 d=5.29012e-08 t=66987
mu biao 	目标	c=5 d=0.00332928 t=66987
mu kuai 	木块	c=1 d=7.33774e-65 t=66987
mu lu 	目录	c=51 d=1.00493 t=66987
mu lu xia 	目录下	c=1 d=3.6773e-55 t=66987
mu lv 	母驴	c=1 d=1.15337e-61 t=66987
mu qian 	目前	c=25 d=1.66671e-10 t=66987
mu qin 	母亲	c=1 d=4.17146e-09 t=66987
mu ru 	母乳	c=21 d=3.31986e-08 t=66987
mu shu xing 	木属性	c=1 d=0.000133688 t=66987
mu zi 	母子	c=1 d=0.0111647 t=66987
na 	哪	c=8 d=7.83504e-13 t=66987
na 	拿	c=11 d=0.928417 t=66987
na 	那	c=134 d=0.894429 t=66987
na bi 	那比	c=0 d=2.32664e-53 t=66987
na bi ai ni 	那比哎你	c=1 d=2.3383e-52 t=66987
na bian 	那边	c=29 d=0.941765 t=66987
na bian an 	那变暗	c=1 d=1.21631e-39 t=66987
na bu dao 	拿不到	c=4 d=1.26814e-30 t=66987
na bu fen 	那部分	c=1 d=6.64151e-98 t=66987
na chu lai 	拿出来	c=1 d=1.80591e-130 t=66987
na dao 	拿到	c=9 d=8.1404e-51 t=66987
na dian 	那点	c=1 d=6.75884e-10 t=66987
na diao 	拿掉	c=1 d=1.78718e-130 t=66987
na diao le 	拿掉了	c=1 d=1.53889e-130 t=66987
na ge 	哪个	c=89 d=0.22091 t=66987
na ge 	那个	c=81 d=0.00199956 t=66987
na ge ren 	那个人	c=1 d=1.6579e-124 t=66987
na ge shi 	哪个是	c=1 d=2.27422e-79 t=66987
na gei wo 	拿给我	c=1 d=2.22895e-18 t=66987
na gu ji 	那估计	c=1 d=6.77222e-92 t=66987
na guo lai 	拿过来	c=2 d=2.18973e-15 t=66987
na hui 	哪会	c=1 d=2.90352e-99 t=66987
na hui qu 	拿回去	c=1 d=8.26202e-49 t=66987
na ji ge 	那几个	c=1 d=1.78763e-128 t=66987
na jin lai 	拿进来	c=1 d=8.37752e-124 t=66987
na jiu 	那就	c=7 d=4.18568e-49 t=66987
na jiu shi 	那就是	c=3 d=4.10503e-26 t=66987
na jiu xing 	那就行	c=2 d=1.15959e-36 t=66987
na li 	哪里	c=36 d=0.00279479 t=66987
na li 	那里	c=37 d=0.321422 t=66987
na li le 	哪里了	c=2 d=7.10249e-64 t=66987
na me 	那么	c=4 d=0.0014018 t=66987
na me da 	那么大	c=1 d=6.88371e-137 t=66987
na me duo 	那么多	c=2 d=4.94061e-88 t=66987
na me gao 	那么高	c=1 d=0.00927901 t=66987
na ni 	那你	c=12 d=0.386741 t=66987
na ni men 	那你们	c=2 d=0.0109436 t=66987
na ni shi 	那你是	c=1 d=1.76192e-134 t=66987
na nian 	那年	c=1 d=3.26026e-80 t=66987
na pi ma 	那匹马	c=17 d=7.52398e-07 t=66987
na qi 	拿起	c=0 d=6.09635e-62 t=66987
na qi shi 	拿起是	c=2 d=1.22845e-60 t=66987
na shi 	那是	c=8 d=1.9132e-15 t=66987
na shi hou 	那时候	c=2 d=0.0192547 t=66987
na tian 	那天	c=7 d=1.14236e-07 t=66987
na tiao 	那条	c=1 d=5.57829e-75 t=66987
na wo 	那我	c=16 d=3.27115e-23 t=66987
na wo jiu 	那我就	c=1 d=3.69712e-30 t=66987
na xie 	哪些	c=9 d=0.0397558 t=66987
na xie 	那些	c=9 d=0.587987 t=66987
na yang 	那样	c=2 d=1.78253e-65 t=66987
na yi ge 	哪一个	c=4 d=7.80102e-50 t=66987
na yi jia 	哪一家	c=1 d=1.2505e-71 t=66987
na yi kuai 	那一块	c=3 d=3.81157e-50 t=66987
na yi lie 	那一列	c=1 d=1.65959e-136 t=66987
na yi tao 	那一套	c=3 d=1.17997e-64 t=66987
na you 	哪有	c=2 d=5.39932e-127 t=66987
na za ban 	那咋办	c=1 d=8.63853e-132 t=66987
na zhong 	那种	c=3 d=1.34281e-56 t=66987
na zi 	衲子	c=0 d=2.53874e-50 t=66987
nai 	奶	c=13 d=7.75281e-05 t=66987
nai cha 	奶茶	c=2 d=2.1282e-62 t=66987
nai fei 	奈飞	c=3 d=1.68326e-103 t=66987
nai fen 	奶粉	c=29 d=2.73251e-08 t=66987
nai fen qian 	奶粉钱	c=1 d=6.46143e-10 t=66987
nai le 	奶了	c=3 d=2.4768e-09 t=66987
nai nai 	奶奶	c=1 d=1.62701e-138 t=66987
nai ping 	奶瓶	c=3 d=0.392586 t=66987
nai zui 	奶嘴	c=1 d=4.37164e-31 t=66987
nan 	南	c=0 d=0.0400517 t=66987
nan 	楠	c=0 d=0.0402524 t=66987
nan 	男	c=3 d=0.697676 t=66987
nan 	难	c=1 d=3.02891e-67 t=66987
nan bian 	南边	c=1 d=0.000242381 t=66987
nan chong 	南充	c=1 d=9.06879e-145 t=66987
nan chong shi 	南充市	c=1 d=8.93377e-145 t=66987
nan dao 	难道	c=4 d=2.04169e-15 t=66987
nan dao bu shi 	难道不是	c=1 d=1.30779e-98 t=66987
nan hai 	男孩	c=1 d=7.26797e-129 t=66987
nan hu 	南湖	c=1 d=1.22678e-82 t=66987
nan huo guo 	南火锅	c=1 d=0.402524 t=66987
nan huo guo 	楠火锅	c=1 d=0.404542 t=66987
nan kan 	难看	c=0 d=2.16803e-134 t=66987
